"","Description","Easting","Northing","Elevation","year","X","Y","Xnew","Ynew","Xnew_flipped","type","square","spit","cnr","find","findn","depth_below_ground_surface"
"1","SW_SECT_N1",4999.510587,5009.732254,98.423568,"2012",0.321784060633945,-2.67218065911402,2.14573589299554,-1.62478058030361,-2.14573589299554,"SW","SECT","N1",NA,"","",2.269645
"2","SW_SECT_N1",4999.569637,5009.741133,100.223033,"2012",0.380834060633788,-2.66330165911313,2.18036845168319,-1.5761356934218,-2.18036845168319,"SW","SECT","N1",NA,"","",0.470179999999999
"3","SW_SECT_N1",4998.510418,5010.849143,100.227672,"2012",-0.678384939365969,-1.55529165911321,0.647537415010975,-1.56838565634432,-0.647537415010975,"SW","SECT","N1",NA,"","",0.465541000000002
"4","SW_SECT_N1",4998.656368,5010.686428,98.510617,"2012",-0.532434939365885,-1.7180066591136,0.865970179791908,-1.57642934923434,-0.865970179791908,"SW","SECT","N1",NA,"","",2.182596
"5","SW_SECT_N1",4997.99182,5011.443873,99.18724,"2012",-1.19698293936563,-0.960561659113409,-0.140523986047343,-1.52829966545715,0.140523986047343,"SW","SECT","N1",NA,"","",1.505973
"6","SW_SECT_N",4998.506939,5010.849213,98.645094,"2012",-0.68186393936594,-1.55522165911316,0.645070344754109,-1.57083961342371,-0.645070344754109,"SW","SECT","N",NA,"","",2.048119
"7","SW_SECT_N",4999.584239,5009.758968,98.63737,"2012",0.395436060633983,-2.64546665911348,2.17768242786998,-1.55324266162023,-2.17768242786998,"SW","SECT","N",NA,"","",2.055843
"8","SW_SECT_N",4999.565112,5009.740629,98.409632,"2012",0.376309060634412,-2.66380565911368,2.17758766981706,-1.57974081383698,-2.17758766981706,"SW","SECT","N",NA,"","",2.283581
"9","SW_SECT_N",4998.675776,5010.682485,98.777329,"2012",-0.513026939365773,-1.72194965911331,0.88228846627838,-1.5652074403438,-0.88228846627838,"SW","SECT","N",NA,"","",1.91588400000001
"10","B6_SW_SECT_NAIL",4996.768579,5012.866332,98.203789,"2015",-2.42022393936622,0.461897340886026,-2.0134899588359,-1.42010255117929,2.0134899588359,"B6","SW","SECT","","","",2.489424
"11","B6_SW_SECT_NAIL",4996.650195,5012.975202,99.674207,"2015",-2.53860793936565,0.57076734088605,-2.17404091942681,-1.42963341731028,2.17404091942681,"B6","SW","SECT","","","",1.019006
"12","B6_SW_SECT_NAIL",4996.608319,5012.92849,99.976676,"2015",-2.58048393936588,0.524055340886662,-2.16952863259533,-1.49220537258988,2.16952863259533,"B6","SW","SECT","","","",0.716537000000002
"13","B6_SW_SECT_NAIL",4996.608677,5012.892833,100.668205,"2015",-2.58012593936564,0.488398340886306,-2.14363044563761,-1.5167172824569,2.14363044563761,"B6","SW","SECT","","","",0.0250079999999997
"14","B5_SW_SECT_NAIL",4997.410752,5012.036986,100.662473,"2015",-1.77805093936604,-0.367448659113506,-0.970817523051688,-1.53427409448265,0.970817523051688,"B5","SW","SECT","","","",0.0307399999999944
"15","B5_SW_SECT_NAIL",4997.248228,5012.297756,100.026215,"2015",-1.94057493936543,-0.106678659113641,-1.27129841978596,-1.47003801292795,1.27129841978596,"B5","SW","SECT","","","",0.666998000000007
"16","B5_SW_SECT_NAIL",4997.39095,5012.144165,99.535683,"2015",-1.79785293936584,-0.260269659113874,-1.06167126856361,-1.47406567172164,1.06167126856361,"B5","SW","SECT","","","",1.15752999999999
"17","B5_SW_SECT_NAIL",4997.349255,5012.252034,98.402457,"2015",-1.83954793936573,-0.152400659113482,-1.16822951424283,-1.42912644093337,1.16822951424283,"B5","SW","SECT","","","",2.290756
"18","B5_SW_SECT_NAIL",4997.164882,5012.509232,97.986933,"2015",-2.02392093936578,0.104797340886762,-1.48131851994718,-1.38308853437576,1.48131851994718,"B5","SW","SECT","","","",2.70628000000001
"19","B6_SW_SECT_NAIL",4996.743376,5012.878758,98.187814,"2015",-2.44542693936546,0.474323340886258,-2.03993595010523,-1.42960024725519,2.03993595010523,"B6","SW","SECT","","","",2.505399
