Square,Spit,Depth,,Artefacts
C3,1,0.00,,73
C3,2,0.02,,96
C3,3,0.05,,94
C3,4,0.10,,238
C3,5,0.16,,159
C3,6,0.22,,106
C3,7,0.29,,107
C3,8,0.32,,38
C3,11,0.47,,94
C3,12,0.53,,154
C3,13,0.57,,164
C3,15,0.66,,541
C3,16,0.74,,302
C3,17,0.80,,238
C3,19,0.87,,216
C3,20,0.93,,247
C3,22,1.04,,172
C3,24,1.15,,275
C3,25,1.21,,280
C3,26,1.26,,296
C3,27,1.28,,411
C3,28,1.38,,564
C2,28,1.410592,,400
C2,29,1.464297,,408
C2,30,1.564723,,153
C2,31,1.634675,,128
C2,32,1.689276667,,170
C2,33,1.759281,,39
C2,34,1.796754,,138
C2,35,1.8612155,,102
C2,36,1.937098,,74
C2,37,1.949702,,150
C2,38,1.994153,,63
C2,39,2.038604,,194
C2,40,2.1011956,,166
C2,41,2.1263578,,292
C2,42,2.1602924,,164
C2,43,2.1971358,,39
C2,44,2.2363442,,38
C2,45,2.2589944,,11
C2,46,2.2954234,,8
C2,47,2.3561238,,11
C2,48,2.3936654,,13
C2,49,2.4369918,,11
C2,50,2.4705556,,17
C2,51,2.5041194,,8
C2,52,2.538564,,7
C2,53,2.5737014,,6
C2,54,2.6058378,,11
C2,55,2.6456002,,4
C2,56,2.675897,,3
C2,57,2.7220376,,7
