"","V1","V2","artefact1","artefact2"
"1","","","Associated artefacts ",NA
"2","Set 1 ","Refit 1 ","L9322 C4-64"," L9329 B6-66 "
"3","Set 2 ","Refit 2 ","X89 C4-50"," X141 D2-39A "
"4","Set 3 ","Refit 3 ","L7921 B6-54"," X202 B6-57 "
"5","Set 4 ","Conjoin 1 ","X102 C4-54"," X103 C4-52 "
"6","Set 5 ","Conjoin 2 ","X3 C5-54"," X95 C5-53 "
"7","Set 6 ","Conjoin 3 ","L7816 C5-53"," X144 C5-53"
"8","Set 7 ","Conjoin 4 ","X11 C5-54"," X261 C2-41 "
"9","Set 8 ","Conjoin 5 ","X132 B6-34"," X133 B6-34 "
"10","Set 9 ","Conjoin 6 ","L1718 C4-32"," X210 B6-60 "
"11","Set 10 ","Conjoin 7 ","L1636 C2-41"," L8829 C6-61 "
"12","Set 11 ","Match 1 ","X216 B3-43"," X222 B3-44 "
"13","Set 12 ","Match 2 ","L8562 C6-59"," X139 D2-39A "
"14","Set 13 ","Match 3 ","L1839 B4-50"," L1847 C4-51 "
"15","Set 14 ","Match 4 ","L7640 C6-52"," L8812 B6-61 "
"16","Set 15 ","Match 5 ","X184 B6-32"," X214 B6-37 "
"17","Set 16 ","Match 6 ","L1662 C3-41"," X56 C3-42 "
"18","Set 17 ","Match 7 ","L1652 D2-42"," L3024.2 D2-41 "
