Square,Spit,Depth,,Artefacts/Litre
C3,1,0,,3.48
C3,2,0.02,,3.15
C3,3,0.05,,2.19
C3,4,0.1,,3.07
C3,5,0.16,,3.42
C3,6,0.22,,2.33
C3,7,0.29,,2.33
C3,8,0.32,,1.58
C3,11,0.47,,2.38
C3,12,0.53,,4.74
C3,13,0.57,,4.75
C3,15,0.66,,10.93
C3,16,0.74,,6.57
C3,17,0.8,,4.71
C3,19,0.87,,4.45
C3,20,0.93,,3.55
C3,22,1.04,,3.66
C3,24,1.15,,5.56
C3,25,1.21,,5.69
C3,26,1.26,,5.29
C3,27,1.28,,4.18
C3,28,1.38,,2.99
C2,28,1.410592,,3.80
C2,29,1.464297,,1.66
C2,30,1.564723,,1.35
C2,31,1.634675,,1.33
C2,32,1.689276667,,0.40
C2,33,1.759281,,1.65
C2,34,1.796754,,1.07
C2,35,1.8612155,,0.81
C2,36,1.937098,,1.56
C2,37,1.949702,,0.66
C2,38,1.994153,,2.02
C2,39,2.038604,,1.73
C2,40,2.1011956,,3.04
C2,41,2.1263578,,1.71
C2,42,2.1602924,,0.63
C2,43,2.1971358,,0.75
C2,44,2.2363442,,0.22
C2,45,2.2589944,,0.13
C2,46,2.2954234,,0.12
C2,47,2.3561238,,0.21
C2,48,2.3936654,,0.19
C2,49,2.4369918,,0.34
C2,50,2.4705556,,0.16
C2,51,2.5041194,,0.11
C2,52,2.538564,,0.10
C2,53,2.5737014,,0.29
C2,54,2.6058378,,0.08
C2,55,2.6456002,,0.06
C2,56,2.675897,,0.11
C2,57,2.7220376,,0.13
