Square,Spit,Depth,,Heated/litre
C3,1,0.00,,0
C3,2,0.02,,0
C3,3,0.05,,0
C3,4,0.10,,0
C3,5,0.16,,0.021505376
C3,6,0.22,,0
C3,7,0.29,,0
C3,8,0.32,,0
C3,11,0.47,,0
C3,12,0.53,,0
C3,13,0.57,,0
C3,15,0.66,,0
C3,16,0.74,,0
C3,17,0.80,,0
C3,19,0.87,,0
C3,20,0.93,,0.028776978
C3,22,1.04,,0
C3,24,1.15,,0.02020202
C3,25,1.21,,0.142276423
C3,26,1.26,,0.053571429
C3,27,1.28,,0.044776119
C3,28,1.38,,0.080645161
C2,28,1.410592,,0.02240478
C2,29,1.464297,,0.037209302
C2,30,1.564723,,0.021668472
C2,31,1.634675,,0.010526316
C2,32,1.689276667,,0.031397174
C2,33,1.759281,,0.030612245
C2,34,1.796754,,0.023894863
C2,35,1.8612155,,0.031612223
C2,36,1.937098,,0.021953897
C2,37,1.949702,,0.135416667
C2,38,1.994153,,0.052083333
C2,39,2.038604,,0.083333333
C2,40,2.1011956,,0.03125
C2,41,2.1263578,,0.020833333
C2,42,2.1602924,,0.03125
C2,43,2.1971358,,0
C2,44,2.2363442,,0
C2,45,2.2589944,,0
C2,46,2.2954234,,0
C2,47,2.3561238,,0
C2,48,2.3936654,,0
C2,49,2.4369918,,0
C2,50,2.4705556,,0
C2,51,2.5041194,,0
C2,52,2.538564,,0
C2,53,2.5737014,,0
C2,54,2.6058378,,0
C2,55,2.6456002,,0
C2,56,2.675897,,0
C2,57,2.7220376,,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
